Site/ Sol Id*	Bank Name	Pin code 	City*	State	Branch*	Address	Amc Start date*	UPS Cap	Qty	Amc Expiry Date
P3ENCE86	HDFC Bank	600044	Chennai	Tamil Nadu	Tamilnadu	No28 Nellipettai Street Zamin Royapettah Main Road Chromepet Chennai  600044	01-04-2022			31-03-2023
P3ENMD17	HDFC Bank	600089	Chennai	Tamil Nadu	Tamilnadu	NO5/38ESHWARAN KOIL DLF MAIN ROAD RAMAVARAM CHENNAI - 600089	01-04-2022			31-03-2023
P3ENST04	HDFC Bank	415004	Satara	Maharashtra	Maharashtra	S No 251/*4 HNo 1027 Rahul Niwas Chandan nagar New MIDC Kodoli Satara PO Satara District Satara- 415004	01-04-2022			31-03-2023
P3ENPE50	HDFC Bank	412207	Pune	Maharashtra	Maharashtra	Avhalwadi Tal Haveli Dist Pune  412207	01-04-2022			31-03-2023
P3ENDP05	HDFC Bank	636701	Dharmapuri	Tamil Nadu	Tamilnadu	No 165A Ground floor SV Road Dharmapuri Tamilnadu 636701	01-04-2022			31-03-2023
P3ENBD07	HDFC Bank	124507	Bahadurgarh	Haryana	Punjab	SHOP No 67 SHOPING COMPLEX HUDA MARKET Sec-6 BAHADURGARH HARYANA 124507	01-04-2022			31-03-2023
P3ENPE48	HDFC Bank	412202	Pune	Maharashtra	Maharashtra	GAT NO-783NEW MILKAT NO-01/00459 WARD NO-1URULI KANCHAN PUNE-412202	01-04-2022			31-03-2023
P3ENSO11	HDFC Bank	173205	Solan	Himachal Pradesh 	Punjab	Main Market Bhud Village & PO- Bhud Tehsil  Baddi Distt  Solan HP173205	01-04-2022			31-03-2023
P3ENOD35	HDFC Bank	761010	Ganjam	Orissa	Orissa	AT/PO/PS-ChikitiDIST-GanjamPIN-761010	01-04-2022			31-03-2023
PUON8036	Kotak Bank	412207	Pune	Maharashtra	Maharashtra	GNo 1142 Opp to Raisoni Collage Wagholi Ta-HaveliPune  412207	01-04-2022			31-03-2023
HYON8031	Kotak Bank	500058	Hyderabad	Telangana	Andhra Pradesh	HNo 43-92 Udyog Ngar Badangpet Kaman Balapur mandal Hyderabad  500058	01-04-2022			31-03-2023
P3ENUR02	HDFC Bank	635207	Uthangarai	Tamil Nadu	Tamilnadu	No23Salem Main Road Near Subramaniya lodge Uthangarai - 635207	01-04-2022			31-03-2023
P3ENCE83	HDFC Bank	600044	Chennai	Tamil Nadu	Tamilnadu	NO1/13 Bharathiyar Street Cholavaram Chromepet Chennai-600044	01-04-2022			31-03-2023
EN401014	IDFC First Bank	400051	Mumbai	Maharashtra	Maharashtra	BKC Naman Chambers Ground floor C-32 G Block Bandra Kurla Complex Bandra E Mumbai - 400051	01-04-2022			31-03-2023
P3ENPE47	HDFC Bank	411014	Pune	Maharashtra	Maharashtra	Kalubai Nagar Thete vasti Kharadi S No 14/1/2 Kalubai Nagar Thete vasti Kharadi Pune 411014	01-04-2022			31-03-2023
P3ENPE43	HDFC Bank	411019	Pune	Maharashtra	Maharashtra	S NO 199 CTS No 4568 Shop NO 3 Saraswati corner Chinchwad Station Chinchwad Pune PIN No 411019	01-04-2022			31-03-2023
P3ENHW08	HDFC Bank	249403	Haridwar	Uttarakhand	Delhi	Four S Bazzar Main Salempur Chowk Bahadrabad Haridwar  Uttarakhand pin code 249403	01-04-2022			31-03-2023
P3ENHW06	HDFC Bank	249403	Haridwar	Uttarakhand	Delhi	Roshnabad Village Sidcul Haridwar Uttarakhand pin code 249403	01-04-2022			31-03-2023
P3ENTP14	HDFC Bank	517501	TIRUPATI	Andhra Pradesh	Andhra Pradesh	13-5-548Thathayagunta Junction Tata Nagar Tirupati  Andhra Pradesh 517501	01-04-2022			31-03-2023
PUON8037	Kotak Bank	411039	Pune	Maharashtra	Maharashtra	Srno198 Milkat No59 / 6/ 35 Radhakrushana Nagar Bhosari Pune 411039	01-04-2022			31-03-2023
P3ENBU47	HDFC Bank	-560064	Bangalore	Karnataka	Karnataka	Nikoo Homes-1 Bhartiya City Thanisandra Bangalore Karnataka-560064 	01-04-2022			31-03-2023
P3ENMM67	HDFC Bank	401101	Thane	Maharashtra	Maharashtra	Shop no 4 Bhayander shree sai Mahal CHS Ltd Opp Post Office Bhayander west Thane 401101	01-04-2022			31-03-2023
HYON8032	Kotak Bank	5000023	Hyderabad	Telangana	Andhra Pradesh	HNo 18-8-243/A/80/1 Edi Bazar Fateh Shah Nagar Moin Bagh Hyderabad  5000023	01-04-2022			31-03-2023
PUON8047	Kotak Bank	411023	Pune	Maharashtra	Maharashtra	Rathi Villa DeshmukhwadiSNO 31/2 Shivane Pune -411023	01-04-2022			31-03-2023
P3ENPE45	HDFC Bank	410501	Pune	Maharashtra	Maharashtra	Gat no390/1milkat no1298Manohar Nagar Nanekar Wadi Chakan Tal Khed Dist Pune 410501	01-04-2022			31-03-2023
P3ENSO13	HDFC Bank	173212	Solan	Himachal Pradesh 	Punjab	DC Office By Pass Road Solan Himachal Pradesh  173212 	01-04-2022			31-03-2023
P3ECBG01	HDFC Bank	174001	Bilaspur	Himachal Pradesh 	Punjab	Ultra Tech Cement Unit Plant Bagga Bilaspur Himachal Pradesh 174001 	01-04-2022			31-03-2023
P3ENMD22	HDFC Bank	600088	Chennai	Tamil Nadu	Tamilnadu	Plot No6 Shop No 3 Mahalakashmi Nagar 3rd Main Road Adambakkam CHENNAI - 600088	01-04-2022			31-03-2023
9248	Citibank	122001	Gurgaon	Haryana	Delhi	Atrium Ground Floor Lobby Tower 6 B Wing of IT/ITeS SEZ Gurgaon Infospace Limited situated in Candor TechSpace Sector 21 Dundahera Gurgaon Haryana -122001	01-04-2022			31-03-2023
P3ENBP22	HDFC Bank	321001	Bharatpur	Rajasthan	Rajasthan	Ward No 46Multipurpose ChaurahaBharatpur - 321001 	01-04-2022			31-03-2023
EN801193	IDFC First Bank	600033	Chennai	Tamil Nadu	Tamilnadu	No51 Arya Gowda Road West MambalamChennai-600033	01-04-2022			31-03-2023
ER201271	IDFC First Bank	110085	Delhi	Delhi	Delhi	Reception Ground Floor Chotu Ram Marg Sector  5 Rohini Institutional Area Rohini New Delhi 110085	01-04-2022			31-03-2023
SIND1027	SCB Bank	313211	Dariba	Rajasthan	Rajasthan	Reliant Drilling Private Limited Sidheser Court Raimagra Rajsamand Sidheshawr Court Mines Sideshar Court Dariba-313211 Rajasthan India	01-04-2022			31-03-2023
PUON8045	Kotak Bank	411027	Pune	Maharashtra	Maharashtra	Sno7/1/5 Hirkani Society  Old Sangvi Pune- 411027	01-04-2022			31-03-2023
PUON8046	Kotak Bank	411027	Pune	Maharashtra	Maharashtra	SR 26 H 26 Wakad Road Jagtap Dairy Vishal Nagar Pimple Nilakh Near Maruthi Mandir Pune 411027	01-04-2022			31-03-2023
P3ENTL01	HDFC Bank	442201	Wardha	Maharashtra	Maharashtra	Mauza No 118 House No 2 Talegaon Wardha 442201 	01-04-2022			31-03-2023
P3ENNK51	HDFC Bank	422008	Nashik	Maharashtra	Maharashtra	N53 VH37 01 shop no 1 patil nagar cidco trimurti chowk Nashik 422008	01-04-2022			31-03-2023
ER801561	IDFC First Bank	560049	Bangalore	Karnataka	Karnataka	Prestige Tranquility Budigere Cross Bommenahalli Village Bangalore-560049	01-04-2022			31-03-2023
PUON8044	Kotak Bank	411041	Pune	Maharashtra	Maharashtra	Dr no121/1&145/2/1plot no 6+7Sai siddhart apartment Shop no 2Dhayari Pune -411041	01-04-2022			31-03-2023
P3ENAV08	HDFC Bank	444705	Amravati	Maharashtra	Maharashtra	Malmataa No08000598 Anjangaon Surji Amravati 444705	01-04-2022			31-03-2023
EN801263	IDFC First Bank	600029	Chennai	Tamil Nadu	Tamilnadu	Navins Presidium No 103 Nelson Manickam Road Aminjikarai Chennai 600029	01-04-2022			31-03-2023
EN213141	IDFC First Bank	121003	Faridabad	Haryana	Punjab	SHOP NO -121 SEC-31 HUDA MARKET FRIDABAD HARYANA 121003	01-04-2022			31-03-2023
EN801262	IDFC First Bank	600045	Chennai	Tamil Nadu	Tamilnadu	Claret Complex Duraisamy Reddy Street Tambaram Chennai 600045	01-04-2022			31-03-2023
P3ENMM70	HDFC Bank	401501	Thane	Maharashtra	Maharashtra	Hno-1962KatkarpadaNear TransfarmerBoisarwest-401501Tal & Palghar 401501	01-04-2022			31-03-2023
P3ENVI01	HDFC Bank	422215	Nashik	Maharashtra	Maharashtra	Kharedi vikari sangh dindhori shop no 1 nr Vani police station at post Vani Nashik 422215	01-04-2022			31-03-2023
P3ENAG43	HDFC Bank	431001	Aurangabad	Maharashtra	Maharashtra	Malmatta no G 18 34 120 Sr No 25 Plot No 24 Jai Bhawani Nagar Garkheda Aurangabad 431001	01-04-2022			31-03-2023
P3ENNK58	HDFC Bank	422103	Nashik	Maharashtra	Maharashtra	Plot no 3 Malegaon midc oppJindal ltd company sinnar 422103	01-04-2022			31-03-2023
P3ENNK36	HDFC Bank	422003	Nashik	Maharashtra	Maharashtra	Shop no 1 yogdam shopping  survey no 208/1/27230/1k  plot no 29  near yogdam bunglow  hirawadi panchavati  nashik-422003	01-04-2022			31-03-2023
P3ENNK61	HDFC Bank	422112	Nashik	Maharashtra	Maharashtra	Shop no 3 Udyog bhavan Manoj colony Musalgaon MIDC Shirdi road Nashik 422112	01-04-2022			31-03-2023
EN201292	IDFC First Bank	122101	Gurgaon	Haryana	Delhi	Shop No 103 Sector 14 Main Market Gurugram 122101	01-04-2022			31-03-2023
P3ENPE42	HDFC Bank	411036	Pune	Maharashtra	Maharashtra	CHOURANG ANGAN SNO 95/2 MAHADEV NAGAR MANJRI BK PUNE 411036	01-04-2022			31-03-2023
P3ENAG42	HDFC Bank	431001	Aurangabad	Maharashtra	Maharashtra	Malmatta No 8947 2 Gat no 131 Plot no 57 Shop no 4 Devlai Road Rahim nagar Satara Aurangabad Maharashtra 431001	01-04-2022			31-03-2023
P3ENAG48	HDFC Bank	431001	Aurangabad	Maharashtra	Maharashtra	Malmatta No B0017146 Gat No 18 2 Plot No 7 Surewadi Harsul Aurangabad 431001	01-04-2022			31-03-2023
P3ENNK57	HDFC Bank	400003	Nashik	Maharashtra	Maharashtra	Plot no 15 16 sagar village dhatrak phata adgaon shivar nashik 400003	01-04-2022			31-03-2023
P3ENPE58	HDFC Bank	411027	Pune	Maharashtra	Maharashtra	Srno194 193 Shivaji Chwok Pimple Nilakh  Pune -411027	01-04-2022			31-03-2023
P3ENVI02	HDFC Bank	422001	Nashik	Maharashtra	Maharashtra	Shop no 8  865/5+865/6plot no 5+6 Satyabhama sankul vinay nagar Wadala roadnashik-422001	01-04-2022			31-03-2023
P3ENLK25	HDFC Bank	226016	Lucknow	Uttar Pradesh	Uttar Pradesh	HAL Indira Nagar Lucknow 226016	01-04-2022			31-03-2023
EN601022	IDFC First Bank	700094	Kolkata	West Bengal	West Bengal	The Metropolis Mall 1925 Chak Garia Kolkota-700094 West Bengal	01-04-2022			31-03-2023
P3ENRI07	HDFC Bank	493225	Raipur	Chhattisgarh	Chhattisgarh	Manth Kharora-Raipur  Amity University Manth Kharora Road  493225	01-04-2022			31-03-2023
P3ENVI05	HDFC Bank	444607	Amravati	Maharashtra	Maharashtra	Sarve No 419 Plot No 3 Juni Basti Badnera Mauzaa Badnera Amravati 444607 	01-04-2022			31-03-2023
P3ENSO21	HDFC Bank	413101	Akluj	Maharashtra	Maharashtra	Shop No 2 Sai Lodge  Opp Shri Ram Talkies  Pandharpur Road Akluj - 413101	01-04-2022			31-03-2023
P3ENNR72	HDFC Bank	440014	Nagpur	Maharashtra	Maharashtra	House No 3448 A 1 1Trust Plot No HIG B 1 1 Mauzaa Indora opp dayanad park Nagpur 440014	01-04-2022			31-03-2023
